Depth,Nodes,TimeMs,HistoryHitRate,,,,,
8,9860309,3196,0.15,,,,,
8,8446359,3545,0.15,,,,,
8,7001504,3345,0.09,,,,,
8,5715478,2774,0.07,,,Nodes,Time,NPS
8,6968466,3317,0.08,,No History heuristics,8004279006,3060606,2615259.5
8,8157277,3836,0.06,,With Historu heuristics,6569533877,2692812,2439655.6
8,17284305,7859,0.08,,Difference,1434745129,367794,175603.9
8,22425508,10253,0.1,,Reduction percent,17.92,12.01,6.7
8,32454195,14584,0.09,,,,,
8,20854494,10923,0.1,,,,,
8,23387568,10562,0.05,,,,,
8,53091036,24864,0.06,,,,,
8,23524595,11765,0.07,,,,,
8,38495168,18031,0.06,,,,,
8,46309744,22575,0.12,,,,,
8,14501879,8232,0.09,,,,,
8,304,1,0,,,,,
8,288,1,0,,,,,
8,14770410,7600,0.06,,,,,
8,21036024,11088,0.05,,,,,
8,17809246,9833,0.12,,,,,
8,24996621,12915,0.13,,,,,
8,20967663,10874,0.12,,,,,
8,39666393,19863,0.17,,,,,
8,9002803,4814,0.14,,,,,
8,5038461,2427,0.14,,,,,
8,5478496,2592,0.23,,,,,
8,4938005,2339,0.1,,,,,
8,3341655,1781,0.15,,,,,
8,4783194,2368,0.23,,,,,
8,5073727,2796,0.22,,,,,
8,2212162,1245,0.12,,,,,
8,1219991,652,0.13,,,,,
8,1235706,620,0.39,,,,,
8,2603782,1430,0.3,,,,,
8,1694150,938,0.21,,,,,
8,2104087,1122,0.17,,,,,
8,4072077,2077,0.26,,,,,
8,3989145,2020,0.18,,,,,
8,1706900,946,0.36,,,,,
8,2318304,1222,0.61,,,,,
8,2119617,1108,0.75,,,,,
8,4017124,1875,0.53,,,,,
8,1066035,637,0.69,,,,,
8,2173698,1218,0.7,,,,,
8,1341227,681,0.41,,,,,
8,1103675,554,0.4,,,,,
8,593447,301,0.41,,,,,
8,229724,132,0.62,,,,,
8,200,1,0,,,,,
8,176,1,0,,,,,
8,26509229,15549,0.41,,,,,
8,33449406,19547,0.37,,,,,
8,20616826,12261,0.12,,,,,
8,16122768,9991,0.14,,,,,
8,31636947,18719,0.2,,,,,
8,25715274,14098,0.1,,,,,
8,11141713,5838,0.09,,,,,
8,20588637,11400,0.09,,,,,
8,41654275,21513,0.08,,,,,
8,14620764,7466,0.05,,,,,
8,8794689,4998,0.07,,,,,
8,25244029,13659,0.14,,,,,
8,13474679,7000,0.12,,,,,
8,13209795,8177,0.13,,,,,
8,19627818,12002,0.11,,,,,
8,2517991,1564,0.05,,,,,
8,1547880,915,0.05,,,,,
8,32,1,0,,,,,
8,40,1,0,,,,,
8,8388919,4669,0.12,,,,,
8,19642805,10592,0.16,,,,,
8,5841101,2937,0.1,,,,,
8,9456209,4256,0.14,,,,,
8,3165231,1490,0.07,,,,,
8,2171506,892,0.06,,,,,
8,4885847,2453,0.05,,,,,
8,3129564,1419,0.02,,,,,
8,312,1,0,,,,,
8,288,1,0,,,,,
8,11870199,6234,0.11,,,,,
8,14249387,7297,0.1,,,,,
8,17269977,9887,0.06,,,,,
8,12994947,7744,0.08,,,,,
8,15025834,9377,0.08,,,,,
8,15479641,9299,0.05,,,,,
8,16533854,10176,0.05,,,,,
8,20224532,12439,0.05,,,,,
8,9628292,6469,0.08,,,,,
8,20688808,14762,0.12,,,,,
8,27580024,19424,0.12,,,,,
8,9790672,7078,0.06,,,,,
8,4651841,3484,0.03,,,,,
8,3373684,1849,0.2,,,,,
8,7108108,4200,0.43,,,,,
8,9419083,5586,0.29,,,,,
8,8730228,5824,0.28,,,,,
8,7902585,4797,0.18,,,,,
8,4868039,2910,0.44,,,,,
8,3121915,1578,0.78,,,,,
8,5979730,3806,0.6,,,,,
8,7785640,5276,0.66,,,,,
8,4173487,2754,0.88,,,,,
8,3914754,2413,0.84,,,,,
8,3133572,1731,0.7,,,,,
8,3765160,1890,0.98,,,,,
8,634976,356,0.66,,,,,
8,2345205,1218,1.41,,,,,
8,1368485,795,1.11,,,,,
8,1419864,806,1.26,,,,,
8,1477675,873,1.32,,,,,
8,820257,447,0.57,,,,,
8,565097,284,0.9,,,,,
8,683972,369,0.66,,,,,
8,721646,409,0.8,,,,,
8,260206,131,1.51,,,,,
8,1353606,587,1.76,,,,,
8,949967,419,1.93,,,,,
8,458309,198,1.79,,,,,
8,755433,327,1.27,,,,,
8,436324,168,1.02,,,,,
8,1202794,516,1.3,,,,,
8,1625212,804,0.81,,,,,
8,866267,358,0.9,,,,,
8,1061461,393,1,,,,,
8,772855,280,0.93,,,,,
8,702140,258,1.04,,,,,
8,330323,124,1.19,,,,,
8,13084050,6607,0.13,,,,,
8,14116038,7166,0.12,,,,,
8,11420809,5966,0.09,,,,,
8,7220127,3739,0.07,,,,,
8,12081094,6634,0.09,,,,,
8,15093752,9046,0.05,,,,,
8,8146573,5166,0.04,,,,,
8,11354320,6796,0.19,,,,,
8,13895556,9205,0.23,,,,,
8,6962169,4259,0.15,,,,,
8,9921181,5084,0.4,,,,,
8,5497342,3170,0.16,,,,,
8,4881727,2657,0.39,,,,,
8,4601728,2383,0.38,,,,,
8,5071930,2646,0.28,,,,,
8,3832361,2003,0.31,,,,,
8,2820384,1464,0.44,,,,,
8,3432284,1895,0.39,,,,,
8,3398776,1768,0.48,,,,,
8,3375286,2005,0.37,,,,,
8,3592878,2271,0.36,,,,,
8,1794984,989,0.33,,,,,
8,829600,384,0.28,,,,,
8,2364123,1468,0.35,,,,,
8,4262186,2489,0.33,,,,,
8,4390481,2298,0.3,,,,,
8,4775128,2497,0.34,,,,,
8,2835961,1466,0.23,,,,,
8,2106531,1173,0.26,,,,,
