Depth,Nodes,TimeMs,,,,
8,11031108,3588,,,,
8,9507695,4938,,,Nodes = ,"48,047,243,377"
8,6359841,3307,,,Total milliseconds = ,"16,199,417"
8,14969816,5531,,,Nodes per milisecond = ,"2,965.98"
8,10700189,3493,,,Nodes per second = ,"2,965,985.95"
8,7636188,2300,,,,
8,19786972,5901,,,,
8,11186452,3511,,,,
8,4583843,1457,,,,
8,12584551,3919,,,,
8,44677421,13866,,,,
8,13981258,4130,,,,
8,17460040,5395,,,,
8,26565788,8187,,,,
8,34893672,10342,,,,
8,23553740,7066,,,,
8,7492992,2300,,,,
8,27395825,8309,,,,
8,23709852,6980,,,,
8,38511972,11243,,,,
8,16272213,4949,,,,
8,34391391,10178,,,,
8,19823988,6112,,,,
8,11105251,3317,,,,
8,31382831,9886,,,,
8,31738250,10144,,,,
8,35838411,11742,,,,
8,19619221,6123,,,,
8,2040433,794,,,,
8,25932037,8392,,,,
8,22421196,7140,,,,
8,7241422,2275,,,,
8,45281643,14326,,,,
8,33120154,10774,,,,
8,24736382,8282,,,,
8,20940694,6986,,,,
8,32726949,11077,,,,
8,32912269,11478,,,,
8,19057911,6955,,,,
8,12816207,4018,,,,
8,11732894,3919,,,,
8,5805465,2167,,,,
8,3990090,1394,,,,
8,8822366,2806,,,,
8,3488399,1520,,,,
8,4540473,1717,,,,
8,9722364,3433,,,,
8,3448112,1052,,,,
8,1732313,408,,,,
8,2073532,594,,,,
8,2663059,685,,,,
8,662022,180,,,,
8,656452,179,,,,
8,476606,110,,,,
8,1213128,323,,,,
8,1338340,349,,,,
8,1659661,389,,,,
8,3266918,781,,,,
8,2880614,711,,,,
8,1844906,465,,,,
8,834777,182,,,,
8,1436732,364,,,,
8,1793859,467,,,,
8,1941238,509,,,,
8,3020727,729,,,,
8,1923117,492,,,,
8,1190185,302,,,,
8,1159015,279,,,,
8,1371064,343,,,,
8,1257651,307,,,,
8,547621,152,,,,
8,1344328,336,,,,
8,852003,215,,,,
8,1044699,272,,,,
8,3444083,844,,,,
8,899940,215,,,,
8,564035,137,,,,
8,557604,153,,,,
8,381430,113,,,,
8,2171808,576,,,,
8,1144083,263,,,,
8,112987,44,,,,
8,2353066,568,,,,
8,971538,228,,,,
8,2704550,669,,,,
8,1753372,492,,,,
8,2094152,582,,,,
8,1599973,414,,,,
8,2450027,640,,,,
8,2345873,589,,,,
8,1100112,264,,,,
8,238580,97,,,,
8,1751070,500,,,,
8,2156895,584,,,,
8,3623447,924,,,,
8,3745628,1011,,,,
8,1097095,316,,,,
8,1256988,332,,,,
8,246536,65,,,,
8,52090,11,,,,
8,81113,17,,,,
8,59344,11,,,,
8,113436,26,,,,
8,70905,13,,,,
8,66984,11,,,,
8,91087,15,,,,
8,52411,10,,,,
8,44575,10,,,,
8,47137,13,,,,
8,22820,5,,,,
8,44688,11,,,,
8,38238,9,,,,
8,20237,4,,,,
8,48,1,,,,
8,21858,4,,,,
8,51807,14,,,,
8,53372,9,,,,
8,62127,14,,,,
8,25546,5,,,,
8,36440,9,,,,
8,48874,10,,,,
8,50093,10,,,,
8,102106,24,,,,
8,180707,30,,,,
8,984985,219,,,,
8,1786064,346,,,,
8,1164779,236,,,,
8,579615,121,,,,
8,546102,120,,,,
8,611763,149,,,,
8,947072,188,,,,
8,1660592,324,,,,
8,436166,94,,,,
8,210197,52,,,,
8,48,1,,,,
8,322437,76,,,,
8,1015796,196,,,,
8,1073314,223,,,,
8,385279,70,,,,
8,345115,74,,,,
8,203856,44,,,,
8,187475,39,,,,
8,67003856,24474,,,,
8,7768563,2772,,,,
8,19829356,7577,,,,
8,10975410,4269,,,,
8,6452895,2663,,,,
8,18819306,7728,,,,
8,15844405,6466,,,,
8,14159983,5410,,,,
8,186908938,72703,,,,
8,5449236,2035,,,,
8,12413525,5012,,,,
8,3269662,1022,,,,
8,72111819,23478,,,,
8,2593122,919,,,,
8,841895,258,,,,
8,2762797,768,,,,
8,2577019,730,,,,
8,4593708,1330,,,,
8,2195349,649,,,,
8,2058928,546,,,,
8,2233167,636,,,,
8,1774980,498,,,,
8,2823476,749,,,,
8,1298288,347,,,,
